series_id,item,category,unit,year,month,value,date
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,1,268.869,2015-01-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,2,269.136,2015-02-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,3,268.907,2015-03-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,4,269.948,2015-04-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,5,270.764,2015-05-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,6,270.981,2015-06-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,7,271.175,2015-07-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,8,270.838,2015-08-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,9,271.119,2015-09-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,10,271.804,2015-10-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,11,272.09,2015-11-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2015,12,272.967,2015-12-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,1,273.097,2016-01-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,2,273.072,2016-02-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,3,273.98,2016-03-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,4,274.864,2016-04-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,5,275.331,2016-05-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,6,275.563,2016-06-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,7,276.058,2016-07-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,8,275.923,2016-08-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,9,275.331,2016-09-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,10,275.645,2016-10-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,11,277.348,2016-11-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2016,12,278.002,2016-12-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,1,279.523,2017-01-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,2,279.782,2017-02-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,3,279.6,2017-03-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,4,280.17,2017-04-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,5,280.388,2017-05-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,6,279.294,2017-06-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,7,279.605,2017-07-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,8,280.488,2017-08-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,9,282.203,2017-09-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,10,283.257,2017-10-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,11,282.502,2017-11-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2017,12,283.107,2017-12-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,1,283.305,2018-01-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,2,284.032,2018-02-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,3,283.656,2018-03-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,4,284.367,2018-04-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,5,284.851,2018-05-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,6,285.753,2018-06-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,7,286.067,2018-07-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,8,286.931,2018-08-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,9,288.457,2018-09-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,10,289.057,2018-10-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,11,290.114,2018-11-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2018,12,289.705,2018-12-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,1,290.758,2019-01-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,2,291.993,2019-02-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,3,294.226,2019-03-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,4,295.266,2019-04-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,5,294.586,2019-05-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,6,295.67,2019-06-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,7,295.377,2019-07-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,8,297.884,2019-08-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,9,298.441,2019-09-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,10,298.925,2019-10-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,11,299.26,2019-11-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2019,12,299.614,2019-12-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,1,300.112,2020-01-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,2,302.22,2020-02-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,3,304.131,2020-03-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,4,304.376,2020-04-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,5,305.574,2020-05-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,6,305.736,2020-06-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,7,305.573,2020-07-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,8,307.554,2020-08-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,9,308.198,2020-09-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,10,308.569,2020-10-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,11,309.949,2020-11-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2020,12,309.888,2020-12-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,1,310.662,2021-01-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,2,311.627,2021-02-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,3,314.66,2021-03-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,4,315.177,2021-04-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,5,314.164,2021-05-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,6,315.209,2021-06-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,7,318.031,2021-07-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,8,320.504,2021-08-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,9,320.446,2021-09-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,10,325.095,2021-10-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,11,325.076,2021-11-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2021,12,324.688,2021-12-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2022,1,325.448,2022-01-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2022,2,331.13,2022-02-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2022,3,329.992,2022-03-01
CUSR0000SETD,Airline fares,Transportation,monthly index,2022,4,331.735,2022-04-01
